ID,Grupo,ESTRUTURA,OCUPACAO,Banheiros,Uso,Esgoto,AREA,VV2001,VV2007
25,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 49.8602089999999 ,8296.53353325871,12655.4340041249
26,projeto,Alvenaria,Residencial,Externa,Próprio,Não, 16.39412 ,1332.35806511648,2032.36321475125
27,projeto,Alvenaria,Residencial,Sem,Próprio,Não, 50.6311129999999 ,5185.43933543745,7909.80775633003
28,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 27.9405299999999 ,9261.39977292616,14127.2295401725
29,projeto,Madeira,Residencial,Externa,Próprio,Não, 17.4516209999999 ,877.387689124279,1338.35679096962
30,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 38.81262 ,8828.44654234777,13466.8078092782
31,projeto,Alvenaria,Residencial,Sem,Próprio,Sim, 20.41377 ,3549.48356795386,5414.34020159045
32,projeto,Alvenaria,Residencial,Sem,Próprio,Sim, 21.41377 ,2923.38308457711,4459.2939385263
33,projeto,Alvenaria,Residencial,Sem,Cedido,Não, 30.722369 ,5275.52422502546,8047.22218012279
34,projeto,Madeira,Residencial,Externa,Próprio,Não, 37.8711699999999 ,4368.88470377268,6664.24499082439
35,projeto,Madeira,Residencial,Interna,Próprio,Não, 31.99566 ,1701.92727183006,2596.09970623548
36,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 12.40481 ,2149.47200219274,3278.77913810829
37,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 25.866961 ,5043.78905257392,7693.73609227194
38,projeto,Madeira,Residencial,Externa,Próprio,Não, 26.5307099999999 ,1901.27311077295,2900.17948830654
39,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 33.8545349999999 ,3528.12508742133,5381.76022831315
40,projeto,Madeira,Residencial,Interna,Próprio,Não, 35.602519 ,2299.85270986927,3508.16808879049
41,projeto,material reaproveitado,Residencial,Externa,Próprio,Não, 33.6533799999999 ,2621.44999577603,3998.72878035923
42,projeto,Alvenaria,Residencial,Interna,Próprio,Não, 32.39137 ,3270.99288970557,4989.5338188757
43,projeto,Madeira,Residencial,Interna,Próprio,Não, 32.99566 ,2035.96788950585,3105.64130873082
44,projeto,Madeira,Residencial,Externa,Próprio,Não, 20.70153 ,2194.15501657524,3346.93807911132
45,projeto,Alvenaria,Residencial,Externa,alugado,Sim, 47.74794 ,3758.33026286836,5732.91247685152
46,projeto,Alvenaria,Residencial,Externa,Próprio,Não, 31.0063889999999 ,2403.25046143132,3665.88979458759
47,projeto,Madeira,Residencial,Externa,Próprio,Não, 31.2373429999999 ,3024.43029423045,4613.43015553096
